SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN
Racau;Tangisan;Lincah;Buruk;Dahsyat;;b
Lunyai;Gaduh;Makan;Berpikir;Lusuh;;d
Bedegap;Kuat;Ramah;Curang;Tampan;;a
Camar;Rakus;Kenyang;Letih;Berani;;a
Jenat;Reinkarnasi;Kecelakaan;Mati;Suci;;c
Nirwana ><;Prasejarah;Bercahaya;Malam;Dunia;;d
Abolisi ><;Peresmian;Pemberatan;Perintah;Pembasmian;;b
Delusi ><;Nyata;Sakit;Indah;Pemikiran;;a
Kontan ><;Utang;Gambar;Risih;Buatan;;a
Sporadis ><;Pernah;Baik Hati;Sering;Lunglai;;c
AUDITING : PEMBUKUAN ;Sebab : Akibat;Data : Kenyataan;Evaluasi : Kebijakan;Awal : Akhir;;c
MURID : BUKU : PERPUSTAKAAN ;Pembeli : Makanan : Gudang;Orang tua : Anak : Ibu;Anak : Kelereng : Rumah;Nasabah : Uang : Bank;;d
INTRODUKSI: PENUTUP ;Utara : Barat;Kuda : Keledai;Kepala : Rambut;Kepala : Ekor;;d
ANALGESIK : NYERI ;Ketahanan : Perkakas;Improvisasi : Musik;Pelumas : Gesekan;Kepercayaan : Tipuan;;c
KANTUK : KEPENATAN;Mimpi : Tidur;Marah : Kegeraman;Muka : Ekspresi;Senyum : Kegembiraan;;d
Dalam ujian nasional (UN) matematika yang lalu diketahui sebagai berikut. 1) Willy menyelesaikan ujian sebelum Ofi. 2)Kara menyelesaikan ujian sebelum Willy. 3)Ofi menyelesaikan ujian setelah Magenta. Manakah dari berikut ini yang tidak bisa benar? ;Willy menyelesaikan ujian sebelum Magenta.;Kara menyelesaikan ujian sebelum Ofi.;Magenta menyelesaikan ujian sebeium Willy.;Ofi menyelesaikan ujian sebelum Kara.;;d
Dalam ujian nasional (UN) matematika yang lalu diketahui sebagai berikut. 1) Willy menyelesaikan ujian sebelum Ofi. 2)Kara menyelesaikan ujian sebelum Willy. 3)Ofi menyelesaikan ujian setelah Magenta. Manakah dari berikut ini yang harus benar?;Ofi menyelesaikan ujian sebelum Magenta.;Kara menyelesaikan ujian sebelum Ofi.;Willy menyelesaikan ujian sebelum Kara.;Magenta menyelesaikan ujian sebelum Kara.;;b
Dalam ujian nasional (UN) matematika yang lalu diketahui sebagai berikut. 1) Willy menyelesaikan ujian sebelum Ofi. 2)Kara menyelesaikan ujian sebelum Willy. 3)Ofi menyelesaikan ujian setelah Magenta. Jika Tina adalah siswa yang menyelesaikan ujian sebelum Magenta, manakah yang berikut ini yang harus benar?;Willy menyelesaikan ujian sebelum Tina.;Tina menyelesaikan ujian sebelum Ofi.;Tina yang pertama kali menyelesaikan ujian;Tina menyelesaikan ujian sebelum Kara.;;b
Dalam ujian nasional (UN) matematika yang lalu diketahui sebagai berikut. 1) Willy menyelesaikan ujian sebelum Ofi. 2)Kara menyelesaikan ujian sebelum Willy. 3)Ofi menyelesaikan ujian setelah Magenta. Jika Kara selesai sebelum Magenta, Willy selesai setelah Magenta, dan Vicky adalah yang terakhir menyelesaikan ujian, manakah berikut ini yang merupakan urutan siswa dalam menyelesaikan ujian dari yang pertama hingga yang terakhir?;Magenta, Kara, Ofi, Willy, Vicky;Kara, Magenta, Willy, Ofi, Vicky;Vicky, Willy, Magenta, Ofi, Kara;Willy, Ofi, Kara, Magenta, Vicky;;b
