SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;PEMBAHASAN
Jika suatu bus melaju dengan kecepatan ratarata 80 km per jam, maka bus tersebut akan sampai 2 jam lebih cepat di tempat tujuan. Jika jarak yang ditempuh 160 km. Berapa kecepatan bus agar sampai tepat waktu?;50 km/jam;60 km/jam;40 km/jam;70 km/jam;;c;
Andi mengendarai sepeda motor ke sekolah. Jika ia melaju dengan kecepatan rata-rata 40 km per jam, maka ia akan sampai ke sekolah 30 menit lebih awal. Jika jarak yang ditempuh adalah 60 km. Berapa kecepatan Andi agar sampai tepat waktu?;30 km/jam;40 km/jam;50 km/jam;60 km/jam;;a;
Sebuah bus menempuh perjalanan dari kota X ke kota Z dengan kecepatan rata-rata 50 km per jam dan kembali dengan kecepatan rata-rata 65 km per jam. Jika jarak dari X ke kota Z adalah 120 km, berapakah kecepatan rata-rata per jam untuk seluruh perjalanan?;60 km/jam;57,5 km/jam;55 km/jam;52,5 km/jam;;b;
Rumah Bayu jaraknya 2 km dari kantornya. Bila berjalan rata-rata 4 km per jam, berapa jamkah yang dibutuhkannya untuk berjalan pulang pergi selama 1 minggu bila ia bekerja dari Senin sampai Jumat dan tidak pernah makan siang di rumah pada hari kerja?;4.;8.;5.;6.;;c;
Sebuah mobil memerlukan 16 liter bensin untuk menempuh jarak 256 km. Maka untuk menempuh jarak 192 km diperlukan bensin sebanyak … lliter.;12.;27.;120.;270.;;a;
Sebuah kereta memerlukan 12 liter bensin untuk menempuh jarak 204 km. Maka untuk menempuh jarak 323 km diperlukan bensin sebanyak … lliter.;16;17;18;19;;d;
Pada permulaan pekerjaan tertentu, counter pada sebuah mesin fotokopi menunjukkan angka 1255. pada akhir pekerjaan tersebut, counter menunjukkan angka 3055. Jika waktu untuk menyelesaikan pekerjaan tersebut adalah 25 menit, berapakah kecepatan rata-rata per detik mesin fotokopi itu beroperasi?;0,6 lembar/detik;1,2 lembar/detik;6 lembar/detik;12 lembar/detik;;b;
Sebuah mesin penggiling padi mampu mennggiling padi sebanyak 125,4 kg dalam waktu 22 menit. Jika petani menambah sebuah mesin penggiling padi dengan kecepatan yang sama. Maka berapa waktu yang diperlukan oleh petani untuk menggiling padi sebanyak 1117,2 kg?;86 menit;102 menit;98 menit;77 menit;;c;
Sebuah mobil menempuh 3/4 perjalanan dari kota P ke kota Q dengan kecepatan rata-rata 50 km per jam. Mobil tersebut menempuh perjalanan sisanya dengan kecepatan Y km per jam. Kecepatan rata-rata untuk seluruh perjalanan adalah 40 km per jam . berapakah Y?;10;20;25;30;;a;
Sebuah mobil menempuh jarak 1/5 perjalanannya dalam waktu 3/4 jam dengan kecepatan 50 km/jam. Mobil itu berhenti di pom bensin, dan melanjutkan perjalanannya setelah beristirahat 15 menit. Sisa perjalanannya kemudian ditempuh dalam waktu 1 2/3 jam. Berapa kecepatan mobil untuk menempuh perjalanan sisanya?;90 km/jam;75 km/jam;80 km/jam;85 km/jam;;a;
Sebuah mobil menempuh 500 km dalam empat hari. Pada hari pertama ditempuhnya 90 km, hari kedua 125 km, hari ketiga 153 km. Berapakah jarak yang ditempuh pada hari keempat ?;130;131;132;133;;c;
Sebuah pesawat penerbangan Jayapura menuju Jakarta. Pesawat lepas landas dari Jayapura pada pukul 21.00 waktu setempat dan mendarat di Jakarta pukul 03.00 waktu setempat. Jika selama penerbangan tersebut pesawat berhenti di bandara Surabaya dan Makassar masing-masing selama 25 menit, berapa jamkah lama seluruh perjalanan tersebut?;8 jam;9 jam;10 jam;11 jam;;a;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
